Amstrad,,,,,,,,,,,,,
HW-ID,CR. No.,CPU,CODE NAME,PCB,Style,Change,Drive Vendor,HDD Size (GB),Quantity,Date of approval,Approval valid for : ,Manufacturer's ECO Ref,
4F2003,HWCR120704-1,NEC EMMA2 Sky+,PVR2,,DRX180,Increase of local decoupling on the Video DAC within the EMMA MPEG II decoder IC to improve video signal and reduce instances of visible banding. Change value of decoupling capacitor C369 from 100uF to 2200uF.,Seagate C2,40,"48,000",07/01/2005,Approved for production and service.,BSKYB_ECO001A,
4F2004,N/A,NEC EMMA2 Sky+,PVR2,,DRX180,The same as 4F2001with retro fix (visible banding) described above.,Seagate C2,40,,07/01/2005,Approved for service,BSKYB_ECO001A,
4F2005,HWCR006-2008 ,NEC EMMA2 Sky+,PVR2,,DRX180,Units reworked in accordance with change version 3 are classed as having a ‘part modification’  introduced in service as corrective measure for A/V glitch,Seagate C2,40,,28/10/2008,Approval for service & repair,ECO007,
4F2006,HWCR006-2008 ,NEC EMMA2 Sky+,PVR2,,DRX180,Units reworked in accordance with change version 1 and 2 are classed as having the ‘full modification'  introduced in service as corrective measure for A/V glitch,Seagate C2,40,,28/10/2008,Approval for service & repair,ECO007,
,,,,,,,,,,,,,
4F2101,N/A,NEC EMMA2 Sky+,PVR3,NON RoHs,DRX280,Original baseline model PVR3.0,Seagate U9,160,,N/A,Product not approved,,
4F2102,N/A,NEC EMMA2 Sky+,PVR3,NON RoHs,DRX280,Changes to bootloader not valid for production,Seagate U9,160,,N/A,Product not approved,,
4F2103,N/A,NEC EMMA2 Sky+,PVR3,NON RoHs,DRX280,Brand new PVR3.0 with v2.08 bootloader manufactured by Amstrad,Seagate U9,160,,31/08/2005,Approved for production,N/A,
4F2104,HWCR251105-1A,NEC EMMA2 Sky+,PVR3,NON RoHs,DRX280,The same as 4F2103 employing virtually the same tuner crystal (10.111MHz) but with higher tolerance resulting in lower driver level dependency.,Seagate U9,160,,22/12/2005,Signed off for production/service,TBA,
4F2105,HWCR150206-1,NEC EMMA2 Sky+,PVR3,NON RoHs,DRX280,The same as 4F2103 but with Tonka 2 Seagate HDD.,Seagate Tonka 2,160,,18/05/2006,Approved for Service,BSKYB_ECO003,
4F2106,HWCR150206-1,NEC EMMA2 Sky+,PVR3,NON RoHs,DRX280,The same as 4F2104 but with Tonka 2 Seagate HDD,Seagate Tonka 2,160,,18/05/2006,Approved for Production/Service,BSKYB_ECO003,
4F2107,HWCR150206-1,NEC EMMA2 Sky+,PVR3,NON RoHs,DRX280,The same as 4F2106 but special 2000 units deployed for HDD improvement tracking,Seagate Tonka 2,160,"2,000",18/05/2006,Approved for production,,
4F2108,HWCR180706-1,NEC EMMA2 Sky+,PVR3,RoHs,DRX280,"Fully migrated ROHS model with Tonka 2 drive, includes new PSU & revised F connector. Plus change from Licon to Samwha Caps corrective measure for A/V glitch for tuner i/p 1 only.",Seagate Tonka 2,160,,16/10/2006,Approved for production,,
4F2109,HWCR041206-1,NEC EMMA2 Sky+,PVR3,RoHs,DRX280,The same as 4F2108 but without HSDP and with the card reader manufacturer changed from Amphenol to Hamburg. Includes change from Peace  tuner caps i/p 2 to equivalent Samwha type. This is corresponding corrective measure for A/V glitch on i/p 2 DOM 29/05/07 onwards.,Seagate Tonka 2,160,,01/02/2007,Approved for production,,
4F2110,HWCR003-2007,NEC EMMA2 Sky+,PVR3,RoHs,DRX280,The same as 4F2109 with revised PSU design & Seagate Nighthawk (DB35.3) HDD,Seagate Nighthawk,160,200,23/11/2007,200 off production build made specifically for test,,
4F2111,HWCR003-2007,NEC EMMA2 Sky+,PVR3,RoHs,DRX280,The same as 4F2109 with revised PSU design,Seagate Tonka 2,160,,23/11/2007,Approved for production,,
4F2112,HWCR003-2007,NEC EMMA2 Sky+,PVR3,RoHs,DRX280,The same as 4F2111 with Seagate Nighthawk (DB35.3) HDD,Seagate Nighthawk,160,,23/11/2007,Approved for production,,
4F2113,HWCR003-2007,NEC EMMA2 Sky+,PVR3,NON RoHs,DRX280,The same as 4F2103/05 with Seagate Nighthawk deployed through service & repair.,Seagate Nighthawk,160,,23/11/2007,Approval for service & repair,BSKYB_ECO008,
4F2114,HWCR003-2007,NEC EMMA2 Sky+,PVR3,NON RoHs,DRX280,The same as 4F2104/06 with Seagate Nighthawk deployed through service & repair,Seagate Nighthawk,160,,23/11/2007,Approval for service & repair,BSKYB_ECO008,
4F2115,HWCR003-2007,NEC EMMA2 Sky+,PVR3,NON RoHs,DRX280,The same as 4F2106/07 with Seagate Nighthawk deployed through service & repair,Seagate Nighthawk,160,,23/11/2007,Approval for service & repair,BSKYB_ECO008,
4F2116,HWCR003-2007,NEC EMMA2 Sky+,PVR3,NON RoHs,DRX280,The same as 4F2108 with Seagate Nighthawk deployed through service & repair,Seagate Nighthawk,160,,23/11/2007,Approval for service & repair,BSKYB_ECO008,
4F2117,HWCR001-2008,NEC EMMA2 Sky+,PVR3,RoHs,DRX280,The same as 4F2116 with new Hambung Mondex Card reader/interactive slot,Seagate Nighthawk,160,,28/02/2008,Approved for production,,
4F2118,HWCR003-2008 /HWCR004-2008,NEC EMMA2 Sky+,PVR3,RoHs,DRX280,Emma2-Wafer-Size-Change And Transformer-Varnish-Change,Seagate Nighthawk,160,,01/08/2008,Approved for production,,
,,,,,,,,,,,,,
4F3001,"Picotronics
N/A",Conexant CX24176-79S3Z,PVR4,REV 3,DRX780UK,First baseline single HD product developed by Amstrad,WD Pinnacle,320,"271,777",06/10/2008,Approved for production,,
4F3002,"Picotronics
HWRC002-DRX780",Conexant CX24176-79S3Z,PVR4,REV 3,DRX780UK,"The same as 4F3001 but with WD Midori HDD introduced within service & repair, includes 89k originally manufactured",WD Midori,320,"88,704",26/03/2009,Approved for mass production and service & repair,ECO015,
4F3003,"Picotronics
DRX780-HWRC003",Conexant CX24176-7AS3Z,PVR4,REV 3,DRX780UK,The same as 4F3001 but with Trinity E0 change p/n CX24176-7AS3Z and bootloader v8 applied within service & repair only,WD Pinnacle,320,0,06/10/2009,Approved for service and repair,ECO016,
4F3004,"Picotronics
DRX780-HWRC003",Conexant CX24176-7AS3Z,PVR4,REV 3,DRX780UK,The same as 4F3002 but with Trinity E0 change p/n CX24176-7AS3Z. Includes 10k products reworked to bootloader v8,WD Midori,320,"10,000",13/04/2009,Approved for production,,
4F3005,"Picotronics
DRX780-HWCR005",Conexant CX24176-7AS3Z,PVR4,REV 3,DRX780UK,"The same as 4F3001 but with WD Midori HDD, Trinity E0 change p/n CX24176-7AS3Z and bootloader v8 applied within service & repair only",WD Midori,320,0,06/10/2009,Approved for service and repair,ECO017,
4F3006,"Picotronics
DRX780-HWCR007",Conexant CX24176-7AS3Z,PVR4,REV 3,DRX780UK,"The same as 4F3004 new build but with bootloader version 008 incorporates NXP CPU/DDR timing improvements, Picotronics built ",WD Midori,320,,15/05/2009,Approved for production,,
4F3007,"Picotronics
DRX780-HWCR005",Conexant CX24176-7AS3Z,PVR4,REV 3,DRX780UK,The same as 4F3003 but with WD Midori HDD & Trinity EO version NXP CPU reworked in service & repair only,WD Midori,320,,,Awaiting approval for service & repair,,
4F3008,"Picotronics
DRX780-HWCR005",Conexant CX24176-7AS3Z,PVR4,REV 3,DRX780UK,The same as 4F3007 but with new (larger) HDD,Seagate,500,,24/09/2014,Approved for service and repair,,
4F3009,"Picotronics
DRX780-HWCR005",Conexant CX24176-79S3Z,PVR4,REV 3,DRX780UK,The same as 4F3001 or 2 but with new (larger) HDD,Seagate,500,,15/01/2015,Approved for service and repair,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
4F30A1,"Celestica
DRX780-HWRC005",Conexant CX24176-7AS3Z,PVR4,REV 3,DRX780UK,The same as 4F3004  made at Celestica but with equivalent Rubicon electrolytic capacitors 68 pcs. Supersedes NDS prefix 4F3005 which was discarded,WD Midori,320,700,18/05/2009,Approved for production & service,,
4F30A2,"Celestica
DRX780-HWCR008",Conexant CX24176-7AS3Z,PVR4,REV 3,DRX780UK,"The same as 4F30A1. Extra HW ID requested by Amstrad Management for bootloader 700 rework may or may not be used, to be advised",WD Midori,320,,,Awaiting confirmation of Amstrad's MP plans TBC,,
4F30A3,"Celestica
DRX780-HWRC009",Conexant CX24176-7AS3Z,PVR4,REV 3,DRX780UK,The same as 4F30A1 new build but with bootloader version 008 incorporates NXP CPU/DDR timing improvements ,WD Midori,320,,15/05/2009,Approved for production,,
4F30A4,"Celestica
DRX780-HWRC009",Conexant CX24176-7AS3Z,PVR4,REV 3,DRX780UK,The same as 4F30A3 but with new  (larger) HDD,Seagate,500,,24/09/2014,Approved for service and repair,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
4F3101,4F3100 to 4F314F Picotronics,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR5,Rev 5,DRX890,2nd generation single HD product developed by Amstrad,Seagate Pipeline,500,,31/08/2009,Approved for production,,
4F3102,,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR5,Rev 5,DRX890,Hardware ID incremented to demark production quantities tbc,Seagate Pipeline,500,,,Approved for production,,
4F3103,,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR5,Rev 5,DRX890,Hardware ID incremented to demark production quantities tbc,Seagate Pipeline,500,,,Approved for production,,
4F3104,,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR5,Rev 5,DRX890,Hardware ID incremented to demark production quantities tbc,Seagate Pipeline,500,,,Approved for production,,
4F3105,,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR5,Rev 5,DRX890,Darwin introduced as the factory software load. (2/8/10),Seagate Pipeline,500,,02/08/2010,Approved for production,,
4F3106,,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR5,Rev 5,DRX890,Hardware ID incremented to demark production quantity,Seagate Pipeline,500,,,Approved for production,,
4F3107,,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR5,Rev 5,DRX890,Hardware ID incremented to demark production quantity,Seagate Pipeline,500,,19/11/2010,Approved for production,,
4F3108,,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR5,Rev 5,DRX890,Hardware ID incremented to demark production quantity,Seagate Pipeline,500,,30/12/2010,Approved for production,,
4F3109,,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR5,Rev 6,DRX890,Compliant for external ethernet cabling,Seagate Pipeline,500,,01/03/2011,Approved for production,,
4F310A,,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR5,Rev 6,DRX890,Hardware ID incremented to demark production quantity,Seagate Pipeline,500,,13/06/2011,Approved for production,,
4F310B,,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR5,Rev 6,DRX890,Hardware ID incremented to demark production quantity,Seagate Pipeline,500,,23/10/2011,Approved for production,,
4F310C,,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR5,Rev 6,DRX890,Hardware ID incremented to demark production quantity,Seagate Pipeline,500,,12/01/2012,Approved for production,,
4F310D,,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR5,Rev 6,DRX890,Use of 5 per Alpha & Omega AOZ1073 regulator to replace the 5 per Vishay SIC413 ,Seagate Pipeline,500,,03/05/2012,Approved for production,,
4F3120,,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR5,Rev 6,DRX890,"Hardware for 0.5W box, 1st used on 100 off build in April 2012",Seagate Pipeline,500,,27/03/2012,"100 of sample build in April , box will be used through to mass production in Oct 2012",,
4F3125,,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR5,Rev 6,DRX890W,As per 4F3120 but including integral WiFi,Seagate Pipeline,500,,13/09/2012,Approved for production,,
4F3126,,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR5,Rev 6,DRX890W,"As per 4F3125, 250K production increment",Seagate Pipeline,500,,06/06/2013,Approved for production,,
4F3127,,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR5,Rev 6,DRX890W,"As per 4F3126 (4F3125), 250K production increment",Seagate Pipeline,500,,13/08/2013,Approved for production,,
4F3128,,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR5,Rev 6,DRX890W,"As per 4F3127 (4F3125), 250K production increment. 
24/10/2013 DRX890W WiFi, 0.5W
Now to be used to indicate change in manufacturing process.",Seagate Pipeline,500,,"13/08/2013
revised
24/10/2013",Approved for production,,
4F3129,,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR5,Rev 6,DRX890W,"As per 4F3127 (4F3125), 250K production increment. 
 DRX890W WiFi, 0.5W",Seagate Pipeline,500,,Used 31/05/14 recorded 13/08/2014,Approved for production,,
,,,,,,,,,,,,,
,"4F3132
Last HWID 
DRX890W",Broadcom BCM7335_ BCM7335QKFSBA1G,PVR5,Rev 6,DRX890W,Upper limit for current Picotronics DRX890W HW ID range. With current software uses existing 245/245GB partitioning.,,,,19/12/2013,Placeholder,,
,,,,,,,,,,,,,
4F3133,"DRX890W Lite
4F3133 to 4F314F",Broadcom BCM7335_ BCM7335QKFSBA1G,PVR5,Rev 6,DRX890WL,"DRX890W Lite
As per 4F3128, DRX890W WiFi, 0.5W but with modem removed. See ECR1196.",Seagate Pipeline,500,,19/12/2013,Approved for sample production,,
4F3134,,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR5,Rev 6,DRX890WL,"DRX890W Lite
As per 4F3133, but with change to Seagate HDD.See ECR1388.",Seagate Pipeline,500,,22/09/2014,Approved for production,,
,,,,,,,,,,,,,
,"4F314F
Last HWID DRX890WL",Broadcom BCM7335_ BCM7335QKFSBA1G,PVR5,Rev 6,DRX890WL,Upper limit for current Picotronics DRX890WL HW ID range. ,,,,19/12/2013,Placeholder,,
,,,,,,,,,,,,,
4F3151,DRX895 4F3150 to 4F319F,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR6,Rev 5,DRX895,"The same as 4F3101 but with 1.5 TB hard disk drive, project platinum",tbc,1500,,01/01/2010,Approved for production,,
4F3152,,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR6,Rev 5,DRX895,Darwin introduced as the factory software load for DRX895 and new WD HDD (WD15EVDS-63V9B1),WD 3D Dragon Fly,1500,,01/01/2010,Approved for production,,
4F3153,,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR6,Rev 5,DRX895,WD B1 HDD (WD15EVDS-63V9B1) fitted after manufacture.,WD 3D Dragon Fly,1500,,25/01/2011,Approved for service,ECO020,
4F3154,,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR6,Rev 6,DRX895,As per 4F3152 but compliant for external ethernet cabling,WD 3D Dragon Fly,1500,,01/03/2011,Approved for production,,
4F3155,,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR6,Rev 6,DRX895,"2TB box. New partition 1.5TB user space, 0.5TB anytime (Based on 4F3163 using 5 of Alpha & Omega regulators instead of Vishay SIC413)",Hitachi - Mariner,2000,,15/05/2012,"Approved for production, production start 9 July 2012",,
4F3156,,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR6,Rev 6,DRX895,2TB box. Same as 4F3155 but with 0.5W power in passive standby functionality,Hitachi - Mariner,2000,,15/05/2012,"Approved for production, production start November 2012",,
4F3157,,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR6,Rev 6,DRX895W,"2TB DRX895W WiFi, 0.5W. HDD partition 1.6/0.4TB.
Production units to use last 25k Hitachi 2TB HDDs.

30 test units built with Seagate Pipeline 2TB AF HDD. These to be updated to 4F3170 HWID.
",Hitachi - Mariner,2000,,"26/11/2012
Update 13/02/13","Approved for production.

(26/11/12 Approved for internal test. HW ID used as it enables 2TB partitioning with existing software for test.)",,
4F3158,,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR6,Rev 5,DRX895,"2TB box. Service centre updgrade of 4F3151 to 4F3153. A grade stock. 2TB HDD fitted, partitioning 1.6/0.4TB",Hitachi - Mariner,2000,,14/11/2012,Approved for service,,
4F3159, ,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR6,Rev 6,DRX895,"2TB box. Service centre updgrade of 4F3154. A grade stock. 2TB HDD fitted, partitioning 1.6/0.4TB",Hitachi - Mariner,2000,,14/11/2012,Approved for service,,
4F315A,,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR6,Rev 6,DRX895,"2TB box. As 4F3155 but HDD change, Seagate  Pipeline 2TB Bacall fitted for test, ST2000VM003.",Seagate  Pipeline,2000,50,11/10/2012,Approved for internal test. ,,
4F315B,,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR6,Rev 6,DRX895,"2TB box. As 4F3156 but HDD change, Seagate  Pipeline 2TB Bacall fitted for test, ST2000VM003. 0.5W in standby.",Seagate  Pipeline,2000,"4,080",22/10/2012,Approved for test & trials. Trial start Q4 2012.,,
4F315C,,,,,,Placeholder,,,,,,,
4F315D,,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR6,Rev 6,DRX895,"2TB box. As 4F3156 but HDD change, Western Digital 2TB  AF fitted  for test,WD20EURS. 0.5W in standby.","WD 
AV-GP",2000,,22/10/2012,Approved for test & trials. Trial start Q4 2012.,,
4F315E,,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR6,Rev 6,DRX895,2TB box. Service centre updgrade of 4F3160 to 4F3162. A grade stock. Partitioning 1.6/0.4TB,Hitachi - Mariner,2000,,14/11/2012,Approved for service,,
4F315F,,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR6,Rev 6,DRX895,2TB box. Service centre updgrade of 4F3163. A grade stock. Partitioning 1.6/0.4TB,Hitachi - Mariner,2000,,14/11/2012,Approved for service,,
4F3160,,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR6,Rev 6,DRX895,New HDD to be used for field trial prior to approval,Hitachi - Mariner,2000,"1,370",,For field trial use only,,
4F3161,,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR6,Rev 6,DRX895,New 2TB Drive for Mass Production (User space stays as 1TB),Hitachi - Mariner,2000,,22/08/2011,Approved for production,,
4F3162,,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR6,Rev 6,DRX895,Latest version of Mariner drive and updated front panel artwork (User Space 1TB),Hitachi - Mariner,2000,,09/01/2012,Approved for production,,
4F3163,,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR6,Rev 6,DRX895,Use of 5 per Alpha & Omega AOZ1073 regulator to replace the 5 per Vishay SIC413  (User Space 1TB),Hitachi - Mariner,2000,,04/05/2012,Approved for production,,
,,,,,,,,,,,,,
,4F3164 to 4F316F,,,,,"13/01/14 Current software allocates this HWID range HDD as 896GB System, 1093 user.
There are 12 HWIDs here that could be used if HDD was allocated as per 4F3170 to 4F319F, 400GB system, 1592GB user.
",,,,13/01/2014,"ACTION REQUIRED, SW.",,
,,,,,,,,,,,,,
4F3170,,Broadcom BCM7335_ BCM7335QKFSBA1G,PVR6,Rev 6,DRX895W,"2TB DRX895W WiFi, 0.5W - NEEDS SOFTWARE MODS FOR HDD PARTITION.
Current software (R3) will partition 1.1/0.9TB.",Seagate  Pipeline,2000,,26/11/2012,"NEEDS SOFTWARE MODS FOR HDD PARTITION 
- Done in R4",,
